Etablissement nom;Classification;Adresse;Code postal;Commune;Tarifs;Périodes (textuelles);Description fr
Jeremstar - « Enfin sur scène »;Spectacle;Grand'Place;7000;Mons;Adulte : de 35.00 à 49.00;Le 23/01/2022 : de 14h30 à h;"De son vrai nom Arnold Charles Ernest Hintjens, Arno est une figure indissociable du paysage musical belge depuis maintenant plus de 45 ans. Trilingue, il a d'abord surtout chanté en anglais avant de privilégier le français et parfois le flamand. Déjà en 1970, il forme son premier groupe, Tjens Couter. Ensuite vient la formation de TC Matic avec lequel il enregistre 4 albums entre 1981 et 1985 (TC Matic, l'Apache, Coco, et Yéyé). Le single ""Putain putain de 1983 déjà lourd de sens résonne encore dans toutes les oreilles du pays. Le groupe se sépare en 1986 et Arno se lance alors dans une carrière solo aussi variée que riche en surprises. Arno est toujours là où on ne l'attend pas. Véritable caméléon, il survole tous les genres, du Rock au Blues (Charles et les Lulus avec son ami Roland Van Campenhout), en passant par la chanson française (A la Française), le tout dans une formule décalée propre à l'artiste, et inimitable. Son univers atypique, et surtout son timbre de voix brisé lui valent la comparaison avec l'américain Tom Waits. Volontairement inclassable, Arno maintient au fil des albums l'inattendu, le sens de la formule qui n'appartient qu'à lui. A l'écart du Star System, il continue de s'inspirer de ses observations des gens pour en faire tout simplement des chansons aux textes touchants. Arno s'est également fait une spécialité de reprises originales et décalées de standards francophones, qui lui ont ouvert un public plus large (Les Filles du bord de mer d'Adamo, Le Bon Dieu de Jacques Brel, Comme à Ostende de Jean-Roger Caussimon et Léo Ferré, Elisa de Serge Gainsbourg, Sarah de Georges Moustaki, Pauvres diables (Vous les femmes) de Julio Iglesias, ou anglophones (Mother's Little Helper des Rolling Stones, Knowing Me, Knowing You de ABBA, Get Up, Stand Up de Bob Marley et Peter Tosh), voir les deux (le medley Jean Baltazaarr, La fille du Père Noël/Jean Genie de Jacques Dutronc/David Bowie, avec Beverly Jo Scott). 
  
  Arno est également acteur. Des collaborations avec Jan Bucquoy, Michel Piccoli, Martine Doyen ou Antoine Cuypers entre autres lui permettent d'étendre encore un peu plus sa notoriété et son talent d'artiste."
Fabrice Luchini;Spectacle;Grand Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 19/02/2021;"Les aventures d’un acteur du Borinage en Chine
 En 2012, Rosario Amedeo passe un casting pour la nouvelle superproduction de Jackie Chan. À sa plus grande surprise, il est choisi et s’envole vers la Chine. Dans ce seul-en-scène haut en couleurs, il nous conte les rebondissements de cette aventure, des différences culturelles aux hasards de la vie en passant par l’imaginaire de ceux qui sont restés au pays. Un voyage qui l’a amené à se pencher sur ses origines et sur la façon dont nos choix peuvent influencer notre avenir.
  
  Mise ene scène : Jean-Michel Van Den Eeyden.
  Avec Rosario Amedeo.
 

  
 Dans le cadre du Focus Aller / Retour programmé du 9 au 12 février sur Mars."
Prix des Métiers d’art du Hainaut Lauréats 2019 et 2020;Exposition;39 Rue de Nimy;7000;Mons;Adulte : de 49.00 à 79.00;"Du 06/02/2021 au 25/02/2021 : 
Mercredi : de 10h00 à 18h00
Jeudi : de 10h00 à 18h00
Vendredi : de 10h00 à 18h00
Samedi : de 13h00 à 18h00
Dimanche : de 10h00 à 17h00";"Mars - Mons arts de la scène et le Théâtre Royal de Mons vous proposent deux soirées inédites avec l'incontournable Fabrice Luchini les 14 et 15 mai 2020. 
  
  L'artiste français revient à Mons avec son nouveau spectacle / lecture ""Des écrivains parlent d'argent"", reprenant les textes de Charles Péguy, Sacha Guitry, Émile Zola, Victor Hugo, Jean Cau... Tout cela dans un exercice précis, sans obligation de spectaculaire. Un spectacle qui résonnera à coup sûr en chacun de nous. 
  
  Une soirée à ne pas manquer ! 
  
  "" Impayable Fabrice LUCHINI "" - Le Monde 
  "" Un régal "" - Le Point 
  "" Un moment formidable, on s’amuse "" - France Inter 
  
  Une pièce de Fabrice Luchini, 
  avec l'aide précieuse de Dominique Reynié. 
  Mise en scène d’Emmanuelle Garassino."
Shema Adonaï;Spectacle;138 Rue de Nimy;7000;Mons;"Adulte : 29.00,
Enfant : 39.00";Le 03/03/2021 : de 20h00 à 21h00;Attention suite aux mesures liées au Covid 19, le placement est provisoire et l'envoi des places se fera ultérieurement.
Concert confidence avec Mathilde Renault;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;Le 04/03/2021 : de 18h00 à 18h40 et de 19h00 à 19h40;"À la recherche de la vie
 Venez vous plonger dans l’intimité de ces artistes et découvrir leur univers singulier lors d’une pause en dehors du temps.
  
  Pauline Claes propose a cappella un parcours tissé de lieder, de gospels et de poèmes sur le thème de la perte. Perte d’amour, perte de sens, perte ultime – celle d’un être cher. En mode confidence, la mezzo-soprano démêle les fils pour tenter de n’en tenir plus qu’un : celui, ténu, qui retient les vivants confrontés à la mort.
 

 Dans le cadre de La Semaine de la voix, programmée du 1er au 6 mars."
Concert confidence avec Elise Gäbele;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;Le 05/03/2021 : de 18h00 à 18h40 et de 19h00 à 19h40;"La voix de l’âme
 Venez vous plonger dans l’intimité de ces artistes et découvrir leur univers singulier lors d’une pause en dehors du temps.
  
 La voix profonde et sensible de Mathilde Renault nous livre une musique à fleur de peau. Ses mélodies au piano nous emmènent dans de grands espaces dont les moments mélancoliques rappellent ces regards perdus à travers la fenêtre, un jour de pluie.
 

 Dans le cadre de La Semaine de la voix, programmée du 1er au 6 mars."
Virginie Hocq;Spectacle;Grand-Place;7000;Mons;Adulte : de 29.00 à 35.00;Le 06/03/2021 : de 20h00 à h;Un an après avoir rempli Forest National avec son premier spectacle « Entre nous », Pablo Andres revient sur scène avec un tout nouveau spectacle… »Démasqué ». L'agent Verhaegen, le rappeur MC Furieux et l'insupportable Jerem Floquet, Ramon Culo…pour ne citer qu'eux, ont ainsi pour point commun d'être nés anti-héros loufoques dans le cerveau visiblement fort fréquenté d'un Pablo Andres plus fédérateur que jamais. Mais qui est réellement Pablo Andres ? Il y a bien longtemps que la Belgique n'avait plus connu pareil phénomène. En radio, en télé, à travers les réseaux sociaux et sur scène, l'humoriste a littéralement conquis le plat pays avec une horde de personnages aussi absurdes qu'attachants.
D’pendanse;Spectacle;Grand Place;7000;Mons;Adulte : de 27.00 à 39.00;Le 14/03/2021 : de 15h00 à h;"Tel un « super héros », Donovan réalise des choses extraordinaires dans des lieux ordinaires. Son arme secrète ? La magie !
  Ce jeune magicien de 18 ans, très actif sur les réseaux sociaux, passionne les téléspectateurs belges depuis plus d'un an. Il fait de la magie dans toutes les situations et principalement dans la rue.
  Après avoir bluffé de nombreuses personnalités (BigFLo et Oli, Angèle, Gad Elmaleh, Michel Drucker, Eddy De Pretto Alice On The Roof, Moha la Squale, Thérapie Taxi, Romeo Elvis, mais aussi Will Smith), et fait des records de vues sur youtube avec MacFly et Carlito, Squeezie… Donovan est un caméléon qui s’adapte à toutes les situations avec comme unique volonté : surprendre.
  
  Cette année, Donovan va quitter la rue pour vous proposer son premier grand spectacle de magie !
  Donovan vous réserve un spectacle incroyable qui mélange tout ce qu’il aime : la musique, la video, l’humour, le show et surtout de la magie.
  Entre grande illusion et interactivité avec le public, il tentera de vous bluffer là où vous ne l’attendez pas ! Vous pensez qu’il y a un truc sur youtube ou à la télé ?…Venez le découvrir sur scène et vous verrez que de la magie existe bel et bien !
  Et pour couronner le tout, pour la première fois, Donovan va se mettre en danger physiquement pour vous surprendre encore plus…"
Les Quatre saisons ou Le Mariage du loup;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 9.00 à 15.00;Le 16/03/2021 : de 20h00 à h;"Un incroyable jaillissement d’énergie
 Sur scène, la comédienne qui nous a réuni·e·s nous fait une confidence : elle est persuadée d’être la réincarnation de Janis Joplin. À travers l’histoire de cette figure féminine majeure du milieu musical des années 60 – principalement masculin –, elle nous conte son rapport à l’icône du rock’n’roll, mêlant éléments biographiques et récit intime. Petit à petit, elle change d’identité et incarne le personnage jusqu’à l’illusion.
 

 De Nora Granovsky.
 Cette soirée vous est proposée dans le cadre de la Journée internationale des droits des femmes avec une rencontre citoyenne dès 9h et un Vivement lundi ! autour d’autrices belges et internationale."
Duo Houque Kakumoto;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;Le 19/03/2021 : de 20h00 à 21h00;"Quand le jeune Platon cherche sa voie
 Enfermé dans une salle de cinéma, Platon est tiraillé entre ses aspirations intellectuelles et son désir d’action. Accompagné dans ce voyage initiatique par un Socrate loufoque, un Aristophane de Music-Hall et le truculent Diogène, parviendra-t-il à assumer ses contradictions et à trouver le chemin de la sagesse ? Une comédie drolatique, version moderne de l’allégorie de la caverne écrite par un cycliste courant dans une équipe montoise professionnelle et passionné de philosophie…
  
 Mise en scène de Marie Guyonnet."
Carolyn Carlson Mandala + Poetry event;Spectacle;138 Rue de Nimy138;7000;Mons;Adulte : de 29.50 à 48.00;Le 22/03/2021 : de 20h00 à 21h00;"D’pendanse, une troupe de danse reconnue mais pas seulement. 
  
  Ce sont 8 danseurs, 8 personnalités différentes, avec une passion commune, la danse. 
  
  Le temps d’une soirée, nous vous invitons à partager leur univers et découvrir leur complicité, leurs souvenirs de voyages et retracer leurs parcours. 
  
  Un moment intime, émouvant et plein d’humour, bercé par la musique et la danse … « entre vous et eux ». 
  
  A découvrir au Théâtre Royal de Mons"
Francis Cabrel;Spectacle;Grand-Place;7000;Mons;Gratuité :;Le 23/03/2021 : de 20h00 à h;"Moments de rencontre informels permettant de découvrir des textes dramatiques contemporains, les Lundis en coulisse accueillent à chaque séance une personnalité des arts de la scène pour présenter trois pièces lors d’une lecture à voix haute suivie d’un échange.
  
  Passeur invité : Antoine Laubin, metteur en scène, qui nous fera découvrir des textes écrits par des étudiant·e·s d’ARTS2. Soyez en phase avec la toute jeune génération d’auteurs dramatiques, venez lire et écouter leurs nouveaux textes !
 Vivement Lundi !
 Le rendez-vous intime et inédit entre le public et les artistes !
  Banc d’essai, moment lecture, projet en chantier, conférence, réflexion sur un sujet donné, rêve caché au fond d’un tiroir, plongée dans un univers artistique particulier… Vivement lundi ! se veut un moment de liberté sur Mars.
  Un espace-temps de plaisir dédié à la rencontre entre un artiste et le public."
Dans la nuit;Spectacle;8 Rue des Arbalestriers;7000;Mons;Adulte : de 15.00 à 20.00;Le 25/03/2021 : de 19h00 à h;"Emilio Calcagno réinvente Les Quatre saisons
 Le chorégraphe Emilio Calcagno fait jaillir le célèbre ballet de Vivaldi au cœur de la Tunisie contemporaine, berceau du Printemps arabe. Treize danseurs·ses d’une remarquable intensité se soulèvent, luttent pour rester debout et se soutiennent. En résulte une pièce à la fois combative et festive, traversée par le vent vivifiant du renouveau, en prise directe avec une société en pleine mutation, dans laquelle la démocratie cherche à éclore.
  
  Ballet de l’Opéra de Tunis / Emilio Calcagno."
Francis Cabrel;Spectacle;Grand-Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 25/03/2021;"Bienvenue dans le monde spontané de l’enfance !
 Ce récital vise à nous faire (re)vivre la magie de l’enfance au travers d’une sélection d’oeuvres traduisant sa liberté, son naturel, ses joies puis son désarroi et ses inquiétudes lors de l’adolescence. En guise de contrepoint, le Duo Houque-Kakumoto invite le peintre belge Moyo à installer son atelier sur la scène d’Arsonic afin de peindre une toile inspirée par la 3e sonate de Martinu. Fraîcheur et spontanéité matérialisent ainsi les sons en images.
  
 Avec Laurent Houque, violon, Misa Kakumoto, piano, et Moyo, artiste peintre.
 Programme : 
 

 Johannes Brahms : Scherzo pour violon et piano en do mineur, WoO 2
 William Bolcom : Duo Fantasy (1973)
 Wolfgang Amadeus Mozart : Menuet, extrait de la Sonate pour piano et violon n°3 KV 8 (1764)
 Per Nørgård : Dyptichon (1954)
 Bohuslav Martinu : Sonate pour violon et piano n°3 H.303
 Du 11 au 19 mars, les soirs de concerts, exposition du peintre Moyo. L’artiste installera son atelier sur la scène d’Arsonic à l’occasion de ce concert."
Catch littéraire;Spectacle;8 Rue des Arbalestriers;7000;Mons;Adulte : de 39.00 à 69.00;Le 30/03/2021 : de 20h00 à h;"Francis Cabrel de retour avec “A l’aube revenant”...
 Avec l’accent chantant de son Sud-Ouest natal, l’homme d’Astaffort a insufflé une fraîcheur certaine à la chanson grâce à ses mélodies, sa guitare et sa tendresse… Il nous faudra attendre plus de cinq ans pour savourer le prochain album après l’excellent « In Extremis », sorti en 2015, aux sonorités très folks et aux propos à la fois engagés et intimistes. Avec, à son actif, près de vingt millions d’albums vendus en quarante ans de carrière, Francis Cabrel démarrera sa nouvelle tournée qui présentera ses chansons inédites mais aussi ses titres emblématiques.
 ATTENTION : Ouverture des ventes le 30.11 – 12h
 Cet événement est organisé par le Théâtre Royal de Mons et Mars - Mons arts de la scène
 

 ////
 Offre spéciale visa pour la venue exclusive de Francis Cabrel à Mons !
 En tant que détenteur·rice d’un visa Mars, nous vous avons réservé un quota d’une centaine de places par soir avec une réduction de 10€. Pour en bénéficier, il vous suffit de réserver par mail à public@surmars.be, par téléphone au 065/39.59.39 (Mars) ou au 065/33.55.80 (visitMons).
 ATTENTION : ouverture des ventes lundi 30 novembre à midi !
 ////
 

 23, 24 et 25.03.21
 20h
 Théâtre Royal
 Ouverture des ventes le 30.11 – 12h
 Cat 1 : 69€ (plein) ou 59 € (réduit)
 Cat 2 : 65€ (plein) ou 55 € (réduit)
 Cat 3 : 59 € (plein) ou 49 € (réduit)
 Cat 4 : 49 € (plein) ou 39 € (réduit)"
Points de rupture;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 39.00 à 69.00;"Du 31/03/2021 au 01/04/2021 : 
Mercredi : de 20h00 à h";"Francis Cabrel de retour avec “A l’aube revenant”...
 Avec l’accent chantant de son Sud-Ouest natal, l’homme d’Astaffort a insufflé une fraîcheur certaine à la chanson grâce à ses mélodies, sa guitare et sa tendresse… Il nous faudra attendre plus de cinq ans pour savourer le prochain album après l’excellent « In Extremis », sorti en 2015, aux sonorités très folks et aux propos à la fois engagés et intimistes. Avec, à son actif, près de vingt millions d’albums vendus en quarante ans de carrière, Francis Cabrel démarrera sa nouvelle tournée qui présentera ses chansons inédites mais aussi ses titres emblématiques.
 ATTENTION : Ouverture des ventes le 30.11 – 12h
 Cet événement est organisé par le Théâtre Royal de Mons et Mars - Mons arts de la scène
 

 ////
 Offre spéciale visa pour la venue exclusive de Francis Cabrel à Mons !
 En tant que détenteur·rice d’un visa Mars, nous vous avons réservé un quota d’une centaine de places par soir avec une réduction de 10€. Pour en bénéficier, il vous suffit de réserver par mail à public@surmars.be, par téléphone au 065/39.59.39 (Mars) ou au 065/33.55.80 (visitMons).
 ATTENTION : ouverture des ventes lundi 30 novembre à midi !
 ////
 

 23, 24 et 25.03.21
 20h
 Théâtre Royal
 Ouverture des ventes le 30.11 – 12h
 Cat 1 : 69€ (plein) ou 59 € (réduit)
 Cat 2 : 65€ (plein) ou 55 € (réduit)
 Cat 3 : 59 € (plein) ou 49 € (réduit)
 Cat 4 : 49 € (plein) ou 39 € (réduit)"
117ème édition du Salon du Bon Vouloir;Exposition;17 Rue de la Trouille;7000;Mons;Adulte : de 9.00 à 15.00;"Du 14/03/2021 au 18/04/2021 : 
Mardi : de 12h00 à 18h00
Mercredi : de 12h00 à 18h00
Jeudi : de 12h00 à 18h00
Vendredi : de 12h00 à 18h00
Samedi : de 12h00 à 18h00
Dimanche : de 12h00 à 18h00";"Sortir d’un système, et après ?
 Après une trilogie documentaire sur la mécanique du profit, Françoise Bloch s’intéresse à ces moments où l’humain entre en rupture avec le système dans lequel il s’inscrit. Burn out, révolte, crise : Zoo Théâtre interroge ces mutations et l’oppression qui les précède à travers textes fictifs, matériaux documentaires, improvisations et contrepoints vidéo. Jusqu’où supporte-t-on quelque chose ? Et ensuite, de quoi est fait cet espace-temps vibrant où tout est à réinventer ?
  
 De Françoise Bloch / Zoo Théâtre.
 Autour du spectacle…
 Mer 31 – 18h : Afterwork business
 Apéro + spectacle (infos et détails dans la rubrique Business on Mars)
 

 Dans le cadre de l’Éco-festival Demain programmé du 24 mars au 3 avril sur Mars."
Un Royaume;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 9.00 à 15.00;"Du 20/04/2021 au 21/04/2021 : 
Mardi : de 20h00 à h";"Une soirée sous le signe de l’Internationale
 Venez (re)découvrir les chants dans lesquels se sont incarnées les révolutions et les luttes populaires, à travers les âges et les continents! Bella Ciao, El pueblo unido jamás será vencido, Le temps des cerises font partie de notre inconscient collectif. Ou le moins connu Canto General de Pablo Neruda, mis en musique par Mikis Theodorakis. Sous la forme exigeante du quatuor vocal, ces arrangements originaux font se croiser leur nature populaire et la grande tradition de la musique vocale classique.
  
 Soumaya Hallak, soprano, Emilie Tack, mezzo, Lorenzo Carola, ténor, Kris Belligh, baryton, et Jean-Philippe Collard-Neven, piano et arrangements.
 

 Dans le cadre de l’Éco-festival Demain programmé du 24 mars au 3 avril sur Mars."
Felix Radu;Spectacle;Grand-Place;7000;Mons;Adulte : 22.50;Le 24/04/2021 : de 20h00 à h;"La comédie musciale Peter Pan sera présentée au Théâtre Royal de Mons le samedi 02 mai 2020. Après les différentes comédies musicales de ces dernières années (Cendrillon, Alice, Anastasia…), Art Fantesies revient sur les planches avec un projet ambitieux librement inspiré d’une histoire connue de tous : Peter Pan. Ce petit garçon tantôt joyeux tantôt égocentrique nous emmène dans le célèbre pays imaginaire Neverland. Tout au long de ce périple, Peter Pan nous fera découvrir une galerie de personnages hauts en couleurs. Sous la houlette de Béatrice Fante, chanteuse lyrique diplômée des Conservatoires de Mons, de Bruxelles et de l’Academia Verdana en Italie, Art Fantesies réunit sur scène une quarantaine de jeunes artistes de la région. D’après J.M. Barrie, lyrics Carolyn Leigh Musiques additionnelles de Ulysse Lefèvre UNE PRODUCTION D'ART FANTESIES 
  
  A découvrir au Théâtre Royal de Mons"
Le roi qui n'aimait pas la musique;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;"Du 25/04/2021 au 26/04/2021 : 
Lundi : de 10h00 à h et de 13h30 à h
Dimanche : de 16h00 à h";"Il était une fois… Mythe, conte et roman en musique
 L’Ensemble Astérope vous fait voyager à travers une musique narrative, tantôt descriptive, tantôt imagée, mais toujours colorée et imaginative : Janacek, Rachmaninov et Connesson vous parleront de légèreté, de cavalcade, d’intensité, de poésie et d’émotions. Un voyage pour l’âme à travers le chant expressif d’un violoncelle, avec pour toile de fond un piano dense et intense. Quinze années d’amitié au service de la sincérité…
  
 Ensemble Astérope.
 Emmanuel Tondus, violoncelle, et Damien Bossy, piano.
 Programme : 
 

 Leos Janacek : Pohadka
 Guillaume Connesson : Les Chants de l’Agartha
 Sergei Rachmaninov : Sonate pour violoncelle et piano en sol mineur"
Zazie!;Spectacle;8 Rue des Arbalestriers;7000;Mons;Adulte : de 49.00 à 79.00;"Du 04/05/2021 au 05/05/2021 : 
Mardi : de 10h00 à h et de 13h30 à h";Michel Sardou dans N’écoutez pas, Mesdames, une comédie spirituelle de Sacha Guitry sur l’art d’aimer ! Daniel découvre que sa femme n’est pas rentrée de la nuit pour la seconde fois... Dès lors qu’il soupçonne son épouse d’entretenir une liaison avec un autre homme, il envisage le divorce et, finalement, la prie de s’en aller. Aussitôt Valentine, sa première épouse accourt pour le reconquérir... Mise en scène : Nicolas Briançon Avec : Michel Sardou et 8 comédiens
Arnaud Tsamère;Spectacle;Grand Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 18/09/2021 : de 20h00 à h;"Sous le soleil du tango
 Après le succès de leur dernier album, Logical, le groupe Soledad revient avec un nouvel opus consacré à Astor Piazzolla. Manu Comté, Alexander Gurning et Jean-Frédéric Molard offrent un nouveau regard coloré et émotionnel sur l’oeuvre du grand maître du « tango nuevo », dont on fêtera le centenaire de la naissance en 2021. Ce retour aux sources nous transporte avec modernité et une incomparable virtuosité dans le monde mystérieux et tragique du tango.
  
 Manu Comté, bandonéon, Alexander Gurning, piano, et Jean-Frédéric Molard, violon.
 Programme : Astor Piazzolla."
Cartman;Spectacle;Grand Place;7000;Mons;Adulte : de 25.00 à 29.5;Le 01/10/2021 : de 20h00 à h;
Booder;Spectacle;Grand Place;7000;Mons;Adulte : de 29.50 à 39.0;Le 16/10/2021 : de 20h00 à h;"Après la religion et la guerre, Jérémy Ferrari s’attaque à la santé ! 
  
  Une nouvelle thématique explosive pour l’humoriste au succès retentissant : 300 000 spectateurs en salle, DVD de platine, spectacle de l’année et record de ventes en 2017, tournée à guichets fermés en France, en Suisse, en Belgique, au Québec et aux USA ! 
  
  Le phénomène de l’humour revient avec le one man show le plus attendu de 2020."
"Roy Lichtenstein ""Visions multiples""";Exposition;8 Rue Neuve;7000;Mons;Gratuité :;"Du 05/12/2020 au 18/04/2021 : 
Mardi : de 10h00 à 18h00
Mercredi : de 10h00 à 18h00
Jeudi : de 10h00 à 18h00
Vendredi : de 10h00 à 18h00
Samedi : de 10h00 à 18h00
Dimanche : de 10h00 à 18h00";"L’exposition “La Belgique de Papa” présente une sélection de photographies réalisées par le photographe Charles Henneghien entre 1950-1970. gé de 13 ans lorsqu’il prend les premières images, il immortalise des moments de vie : les cafés populaires, les jeux d’enfants, les industries, les carnavals, la colombophilie, … Au travers de ses images, le photographe nous dresse le portrait attachant d’une “Belgique de Papa” et de temps révolus. 
 Ce regard unique est présenté, gratuitement, au rez-de-chaussée du Mundaneum et vient compléter le regard que nous offrons au travers de l’exposition présente dans les étages : La Belgique dans tous ses états ! 
 20.01.2021 => 18.04.2021 Gratuit Mer- Ven : 13-17h Sam-Dim : 11-18h Réservation obligatoire : www.mundaneum.org"
Vivement lundi! en mouvements avec Arts²;Spectacle;1 Rue des Passages;7000;Mons;Adulte : 5.00;Le 22/02/2021 : de 19h00 à 20h00;Rejoins-nous, le jour du Mardi gras, pour fêter le carnaval et participer à une parade bizarre ! À la suite de la visite de l'exposition « Johan Muyle. No Room for Regrets », tu imagineras ton personnage, une créature fabuleuse singulière. Pour lui « prêter vie » et confectionner son costume, tu assembleras des objets hétéroclites et des matières colorées. Tu lui imagineras aussi des dons et des attributs loufoques avant de parader avec panache sur le site. De 9 à 16h Pour les enfants de 7 à 12 ans Min. 10 et max. 12 enfants Prix : 5 € /enfant Réservation obligatoire : reservations@grand-hornu.be / +32 (0)65 613 902
Intermezzo;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : 10.00;Le 04/03/2021 : de 20h00 à 21h00;"Le bon moment pour prendre son temps…
 Dans cette nouvelle création pour les tout·es-petit·e·s, Stanka Pavlova, Magali Dulain et Usmar abordent les différents aspects du temps : le jour et la nuit, les saisons, l’avant et l’après… Le spectateur·trice entre dans cet univers ludique et poétique pour retrouver des moments-miroirs qui le ramènent à sa propre temporalité. Souffler, balancer, ne pas penser, rêver à travers de beaux tableaux visuels composés d’images, d’objets et de marionnettes.
  
  De la Compagnie Zapoï.
 Activités autour du spectacle…
 Dimanche 28 février
  
  —10h30 → 13h30 : Brunch
  Sur réservation à lacantinedemars@gmail.com
  
  — Dès 10h30 : Coin lecture
  Sélection d’ouvrages en lien avec les thématiques du spectacle en collaboration avec le Réseau montois de lecture publique.
  
  — 11h : Spectacle Piccolo Tempo
  
  — 16h : Spectacle Piccolo Tempo
  
  — À l’issue du spectacle : Atelier « MOMENTO ! »
  Par Stanka Pavlova, de la Compagnie Zapoï, pour les enfants de 2 à 5 ans et leurs parents.
  À partir de 3 petits ronds de couleurs et pleins d’images, viens créer ta propre horloge à histoires !
  Activité gratuite sur réservation à public@surmars.be."
Ensemble Tempus;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;Le 05/03/2021 : de 20h00 à 21h00;"Hommage jazz aux plus belles chansons italiennes
 Laissez-vous surprendre par le duo intimiste formé par Sarah Lancman et Giovanni Mirabassi. Une radieuse invitation à une soirée hors du temps, emplie de chansons italiennes mythiques. Avec poésie et virtuosité, le piano aux rythmes chaloupés et aux solos élégants accompagne merveilleusement la voix fluide, claire et caressante de la sublime chanteuse, que vient ponctuer avec délicatesse le saxophone d’Olivier Bogé.
  
  Sarah Lancman, chant, Giovanni Mirabassi, piano, et Olivier Bogé, saxophone.
 

 Dans le cadre de La Semaine de la voix, programmée du 1er au 6 mars."
Ad Lucem;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : 5.00;Le 06/03/2021 : de 20h00 à 21h00;"Découvrez une voix hors du commun
 Au cours de cette performance, la vocaliste – comédienne, chanteuse, plasticienne – Bénédicte Davin, invente une interprétation contemporaine de pièces avant-gardistes du début du 20ème siècle. Son langage personnel dans un univers déjanté explore avec originalité de grandes pièces du répertoire (Tristan Tzara, Raoul Hausmann, Kurt Schwitters) et propose une création mondiale inspirée de partitions graphiques inédites de Filippo Tommaso Marinetti. Un OVNI théâtral vocal singulier !
  
 Avec Bénédicte Davin.
 

 Dans le cadre de La Semaine de la voix, programmée du 1er au 6 mars."
Lo et Lovera;Exposition;Rue de la Clef;7000;Mons;Adulte : de 9.00 à 15.00;Du 26/02/2021 au 21/03/2021;"Un jeune orchestre à cordes passionné et passionnant
 Sur scène, les 21 jeunes talents du Young Belgian Strings interprètent trois grands noms du répertoire. La jeunesse de Mendelssohn, le dynamisme de Grieg, la passion de Rachmaninov sont autant de traits de caractères qui définissent cet orchestre de chambre, accompagné de la soliste Rosella Clini, grande poétesse du piano.
  
 Orchestre à cordes Young Belgian Strings.
 Dirk Van de Moortel, direction. Rosella Clini, piano.
 Programme : 
 

 Félix Mendelssohn : String Symphony No.13 in C minor, MWV N 14.
 Sergueï Rachmaninov : Concerto pour piano n°2, Op. 18.
 Edvard Grieg : Holberg Suite, Op.40. 
 Du 11 au 19 mars, les soirs de concerts, exposition du peintre Moyo. L’artiste installera son atelier sur la scène d’Arsonic à l’occasion du concert du 19 mars : Enfantaisie."
Aveugles;Spectacle;8 Rue des Arbalestriers;7000;Mons;;Le 30/03/2021 : de 20h00 à 21h00;"Quelles défenses face à l’obscurité ?
 Après avoir adapté Ici, la bande dessinée de Richard McGuire, au théâtre en 2018, Coline Struyf s’attaque à une oeuvre peu connue de Bertold Brecht, Tambours dans la nuit. À travers les thèmes du souvenir et de la jeunesse, elle interroge notre vulnérabilité et nos défenses, individuelles et citoyennes. Son travail d’adaptation remet le spectateur au centre du dispositif en posant cette question d’actualité : contre quoi et comment sommes-nous amené·e·s à nous défendre ?
  
 De Coline Struyf et Mariedl.
 

 Dans le cadre de l’Éco-festival Demain programmé du 24 mars au 3 avril sur Mars."
Scènes Slam;Spectacle;8 Rue des Arbalestriers;7000;Mons;Adulte : de 35.00 à 55.00;"Le 11/03/2021 : de 20h00 à h,
Le 20/05/2021 : de 20h00 à h";"Il y a l'homme. Populaire, récréatif, fin gourmet, spontané, sourire accroché à son accent hollandais et bonne humeur pétaradante. Il y a le chanteur. Populaire (bis), entertainer, armé de chansons inscrites dans l'inconscient collectif et contagieuses (faut-il encore vraiment citer ""Vanina"", ""Du côté de chez Swann"", ""Est-ce par hasard"" ou ""Mon coeur est malade""?), voix immédiatement identifiable et longévité exemplaire. Avec ce nouvel album, Dave chante comme aux premiers jours. La voix très pure embrasse le souvenir. Souvenir de l'ultime départ de sa mère dans une version ici magnifiée par un écrin de cordes. Souvenir d'amis disparus, emportés par la maladie de l'amour. Souvenir d'une époque bénie et insouciante. Cette percée aux émotions diffuses prend une allure de conquête. Dave a un incroyable talent. Celui de surprendre et d'emballer dans un même élan."
